"","FIPS","state","name","population","total_liabilities","revenue","lib_rev_ratio","percapita","state_abv"
"2025","56043","Wyoming","Washakie County",7685,3020200,9043850,33.3950695776688,392.999349381913,"WY"
"2026","31121","Nebraska","Merrick County",7668,0,8199702,0,0,"NE"
"2027","49025","Utah","Kane County",7667,15069463,22860873,65.9181431960188,1965.49667405765,"UT"
"2028","19053","Iowa","Decatur County",7645,5112626,10411449,49.1058065020537,668.754218443427,"IA"
"2029","48307","Texas","Mcculloch County",7630,12574179,8712935,144.31622639214,1647.99200524246,"TX"
"2030","16015","Idaho","Boise County",7610,3066615,11822146,25.9395798360129,402.971747700394,"ID"
"2031","47027","Tennessee","Clay County",7581,4464848,8340281,53.5335440136849,588.952380952381,"TN"
"2032","19135","Iowa","Monroe County",7577,8842618,10163762,87.001427227438,1167.03418239409,"IA"
"2033","05025","Arkansas","Cleveland County",7550,204546,6580379,3.10842278233518,27.0921854304636,"AR"
"2034","20043","Kansas","Doniphan County",7510,0,11300082,0,0,"KS"
"2035","19001","Iowa","Adair County",7496,22540825,15612848,144.373563362687,3007.04709178228,"IA"
"2036","41025","Oregon","Harney County",7495,0,14810940,0,0,"OR"
"2037","13309","Georgia","Wheeler County",7471,750357,6005776,12.4939225172567,100.435952349083,"GA"
"2038","20095","Kansas","Kingman County",7470,0,15127231,0,0,"KS"
"2039","08021","Colorado","Conejos County",7461,1099918,13507094,8.1432616075671,147.422329446455,"CO"
"2040","19195","Iowa","Worth County",7443,14238174,18090024,78.7073250980762,1912.96170898831,"IA"
"2041","08065","Colorado","Lake County",7436,5810472,23104180,25.1490076687422,781.397525551372,"CO"
"2042","46067","South Dakota","Hutchinson County",7427,0,7725237,0,0,"SD"
"2043","41063","Oregon","Wallowa County",7391,529614,18688979,2.8338305693425,71.6566093897984,"OR"
"2044","48069","Texas","Castro County",7371,6296560,5971270,105.447584852134,854.234160900828,"TX"
"2045","20067","Kansas","Grant County",7352,0,13434142,0,0,"KS"
"2046","51157","Virginia","Rappahannock County",7348,9519132,22087488,43.0973952311825,1295.4725095264,"VA"
"2047","31139","Nebraska","Pierce County",7317,0,9252784,0,0,"NE"
"2048","31095","Nebraska","Jefferson County",7240,0,11918077,0,0,"NE"
"2049","41023","Oregon","Grant County",7233,0,14928477,0,0,"OR"
"2050","19177","Iowa","Van Buren County",7203,2350307,9201234,25.5433890715093,326.29557128974,"IA"
"2051","56011","Wyoming","Crook County",7181,3690952,12840875,28.743773302053,513.98858097758,"WY"
"2052","53019","Washington","Ferry County",7178,3102374,16064451,19.3120449618851,432.205906937866,"WA"
"2053","08063","Colorado","Kit Carson County",7087,1220057,17293183,7.05513264966895,172.154226047693,"CO"
"2054","18161","Indiana","Union County",7087,0,21257630,0,0,"IN"
"2055","19151","Iowa","Pocahontas County",7078,10597452,15541013,68.1902267246028,1497.23820288217,"IA"
"2056","31127","Nebraska","Nemaha County",7074,0,7650884,0,0,"NE"
"2057","49001","Utah","Beaver County",7072,5030707,18826778,26.7210193905723,711.355627828054,"UT"
"2058","29203","Missouri","Shannon County",7031,0,4765036,0,0,"MO"
"2059","47095","Tennessee","Lake County",7005,10868299,7271662,149.461003550495,1551.50592433976,"TN"
"2060","19093","Iowa","Ida County",7005,20352944,8378629,242.914968546763,2905.4880799429,"IA"
"2061","46009","South Dakota","Bon Homme County",7003,0,6721225,0,0,"SD"
"2062","48437","Texas","Swisher County",6971,4949687,5082729,97.3824691420692,710.039736049347,"TX"
"2063","40141","Oklahoma","Tillman County",6968,0,6458848,0,0,"OK"
"2064","30077","Montana","Powell County",6946,3770792,8859968,42.5598828347913,542.872444572416,"MT"
"2065","48017","Texas","Bailey County",6904,2673338,6691817,39.9493590455328,387.215816917729,"TX"
"2066","17169","Illinois","Schuyler County",6902,1545482,4876443,31.6928137989104,223.917994784121,"IL"
"2067","20197","Kansas","Wabaunsee County",6877,0,11106659,0,0,"KS"
"2068","38067","North Dakota","Pembina County",6844,7142459,9414320,75.8680287052065,1043.60885447107,"ND"
"2069","56045","Wyoming","Weston County",6838,2900998,8238262,35.213713766326,424.246563322609,"WY"
"2070","08055","Colorado","Huerfano County",6820,10517554,17916639,58.7027176246616,1542.1633431085,"CO"
